# compute-mfcc-feats --sample-frequency=48000 --verbose=2 --config=conf/mfcc.conf scp,p:exp/make_mfcc/train/wav_train.3.scp ark:- | copy-feats --compress=true ark:- ark,scp:/home/gita/Documentos/kaldi/egs/frases_es/mfcc/raw_mfcc_train.3.ark,/home/gita/Documentos/kaldi/egs/frases_es/mfcc/raw_mfcc_train.3.scp 
# Started at Mon Oct  9 19:16:29 COT 2017
#
copy-feats --compress=true ark:- ark,scp:/home/gita/Documentos/kaldi/egs/frases_es/mfcc/raw_mfcc_train.3.ark,/home/gita/Documentos/kaldi/egs/frases_es/mfcc/raw_mfcc_train.3.scp 
compute-mfcc-feats --sample-frequency=48000 --verbose=2 --config=conf/mfcc.conf scp,p:exp/make_mfcc/train/wav_train.3.scp ark:- 
VLOG[2] (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:173) Processed features for key user00064_ses64_rep8_task16_t6_es
VLOG[2] (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:173) Processed features for key user00064_ses64_rep8_task17_t7_es
VLOG[2] (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:173) Processed features for key user00064_ses64_rep8_task18_t8_es
VLOG[2] (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:173) Processed features for key user00064_ses64_rep8_task19_t9_es
VLOG[2] (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:173) Processed features for key user00064_ses64_rep8_task20_t10_es
VLOG[2] (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:173) Processed features for key user00064_ses64_rep9_task11_t1_es
VLOG[2] (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:173) Processed features for key user00064_ses64_rep9_task12_t2_es
VLOG[2] (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:173) Processed features for key user00064_ses64_rep9_task13_t3_es
VLOG[2] (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:173) Processed features for key user00064_ses64_rep9_task14_t4_es
LOG (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:172) Processed 10 utterances
VLOG[2] (compute-mfcc-feats[5.2.126~1-134cf7]:main():compute-mfcc-feats.cc:173) Processed features for key user00064_ses64_rep9_task15_t5_es
